SP_open,SP_high,SP_low,SP_close,SP_Ajclose,SP_volume,DJ_open,DJ_high,DJ_low,DJ_close,DJ_Ajclose,DJ_volume,EU_Price,EU_open,EU_high,EU_low,Adj_Close
132.559998,133.690002,131.490005,131.759995,114.931389,162370400,12579.01953,12579.09961,12396.40039,12419.86035,12419.86035,122830000,1.237,1.2485,1.2494,1.2361,151.910004
131.710007,132.449997,130.339996,131.470001,114.678444,196186000,12414.41016,12489.87012,12316.48047,12393.4502,12393.4502,205140000,1.2359,1.2367,1.243,1.2338,151.619995
129.410004,131.5,128.160004,128.160004,111.791191,253240900,12391.55957,12391.62988,12107.48047,12118.57031,12118.57031,162940000,1.2435,1.2361,1.2458,1.2288,157.5
128.389999,128.740005,127.139999,128.100006,111.738869,202545800,12119.84961,12143.69043,12035.08984,12101.45996,12101.45996,126440000,1.2498,1.2433,1.2511,1.2386,157.320007
127.849998,129.259995,127.779999,129.070007,112.584969,164149400,12101.08008,12147.54981,12072.16992,12127.9502,12127.9502,108970000,1.2454,1.2494,1.2543,1.241,157.139999
129.970001,132.029999,129.929993,131.970001,115.114586,184202800,12125,12414.79004,12125,12414.79004,12414.79004,140110000,1.2572,1.2452,1.2586,1.2439,157.210007
133.470001,133.529999,131.779999,132.050003,115.184349,184772700,12416.53027,12555.25977,12416.53027,12460.95996,12460.95996,131150000,1.2562,1.2579,1.2627,1.254,154.5
131.710007,133.130005,131.289993,133.100006,116.100296,143915400,12460.80957,12554.2002,12398.44043,12554.2002,12554.2002,111810000,1.2517,1.2563,1.2576,1.2435,154.729996
134.169998,134.25,131.279999,131.410004,114.626129,169756100,12553.80957,12650.46973,12398.48047,12411.23047,12411.23047,121060000,1.2475,1.2658,1.2668,1.2471,155.360001
131.789993,133.009995,131.160004,132.919998,115.943237,181931800,12412.07031,12577.01953,12411.91016,12573.79981,12573.79981,111360000,1.2513,1.2466,1.253,1.2441,156.460007
132.529999,133.360001,131.619995,132.070007,115.201836,172223900,12566.37988,12598.25,12453.69043,12496.37988,12496.37988,125780000,1.2556,1.2506,1.2611,1.2473,157.119995
